"gene_symbol","module_color","kME","abs_kME"
"GABRG2","yellow",0.965509392771619,0.965509392771619
"INA","yellow",0.958925434099262,0.958925434099262
"FOXO6","brown",0.956218758648002,0.956218758648002
"SLC43A1","brown",0.953932338751189,0.953932338751189
"NSF","yellow",0.948968878362469,0.948968878362469
"FDXR","brown",0.94893088203022,0.94893088203022
"ST8SIA3","yellow",0.948179672916776,0.948179672916776
"SF3B3","brown",0.946827015592251,0.946827015592251
"MARVELD1","brown",0.946518598431226,0.946518598431226
"VSNL1","yellow",0.945777281251376,0.945777281251376
"C17orf47","brown",0.944950218540321,0.944950218540321
"MYH10","yellow",0.944069106175651,0.944069106175651
"RC3H1","brown",0.943573581456313,0.943573581456313
"UBN1","brown",0.942915992619644,0.942915992619644
"CPSF4L","brown",0.942514799437714,0.942514799437714
"LOC648987","brown",0.942311073835751,0.942311073835751
"FADS6","brown",0.941922120371189,0.941922120371189
"DHH","brown",0.94073327928537,0.94073327928537
"CDON","brown",0.939183929458106,0.939183929458106
"DGAT2","brown",0.938784934851842,0.938784934851842
"PIP4K2A","black",0.938041090588613,0.938041090588613
"TIMM13","brown",0.937922416577215,0.937922416577215
"KIFC3","brown",0.936706241723736,0.936706241723736
"IGFBP1","brown",0.935978849848795,0.935978849848795
"ATP6V1B2","yellow",0.935810006481295,0.935810006481295
"SNHG12","brown",0.935285164718531,0.935285164718531
"CD55","brown",0.934922259263978,0.934922259263978
"GRIN2A","yellow",0.934861266708975,0.934861266708975
"ITIH3","brown",0.932603320949534,0.932603320949534
"FLVCR1","brown",0.932272153148921,0.932272153148921
"WDR88","brown",0.932225808433487,0.932225808433487
"LOXHD1","brown",0.931998423215241,0.931998423215241
"BOLA2B","brown",0.931678903434991,0.931678903434991
"LOC101927531","brown",0.931190722064219,0.931190722064219
"ERMN","black",0.931154692583112,0.931154692583112
"ATP2B1","yellow",0.93115008992972,0.93115008992972
"SLC39A7","brown",0.931111133965685,0.931111133965685
"CPEB2-AS1","brown",0.930443930314024,0.930443930314024
"PLK3","brown",0.930252045127677,0.930252045127677
"SNAP91","yellow",0.930065095907473,0.930065095907473
"LINC01391","brown",0.929713199448186,0.929713199448186
"PPFIA3","brown",0.929688819649291,0.929688819649291
"HOXC11","brown",0.929286621234902,0.929286621234902
"SCARNA14","brown",0.928911438072586,0.928911438072586
"CALHM2","brown",0.928246481044032,0.928246481044032
"GABARAP","brown",0.927770834201386,0.927770834201386
"OPCML","yellow",0.927698098121804,0.927698098121804
"SYNPO","brown",0.927455030494106,0.927455030494106
"FOXE3","brown",0.927419516312659,0.927419516312659
"LTK","brown",0.927099606168748,0.927099606168748
"PRR20D","brown",0.926894455296868,0.926894455296868
"TPM3","brown",0.926854422716977,0.926854422716977
"GABBR2","yellow",0.926711778856115,0.926711778856115
"BAHD1","brown",0.926493199491611,0.926493199491611
"SDR16C5","brown",0.92645070387267,0.92645070387267
"MDFI","brown",0.925402150181255,0.925402150181255
"VTI1A","brown",0.925207667082812,0.925207667082812
"SLC12A5","yellow",0.924925268762516,0.924925268762516
"LOC401554","brown",0.924397804611564,0.924397804611564
"GSK3A","brown",0.924190087365991,0.924190087365991
"BTD","brown",0.92317254619913,0.92317254619913
"USP20","brown",0.922645607678075,0.922645607678075
"THY1","yellow",0.922295892377888,0.922295892377888
"ARHGAP44","yellow",0.922268686493587,0.922268686493587
"NCMAP","brown",0.922110064455295,0.922110064455295
"GRIP2","brown",0.921818694721294,0.921818694721294
"PRKCB","yellow",0.921630879172171,0.921630879172171
"CD28","brown",0.921496155085475,0.921496155085475
"LOC100506127","brown",0.921346361472586,0.921346361472586
"AGAP2-AS1","brown",0.921341562168789,0.921341562168789
"ALAD","brown",0.920849984999886,0.920849984999886
"CYP2C9","brown",0.92073102196804,0.92073102196804
"S100A14","brown",0.920603103261366,0.920603103261366
"PAIP2B","brown",0.920414250169974,0.920414250169974
"NOL4L","brown",0.920221280848278,0.920221280848278
"PREPL","yellow",0.919539701303653,0.919539701303653
"MARK4","brown",0.918948424101264,0.918948424101264
"PRKAR2B","blue",0.91890904434498,0.91890904434498
"SSX3","brown",0.918491302252008,0.918491302252008
"RD3","brown",0.918344118119298,0.918344118119298
"STPG1","brown",0.918226156084308,0.918226156084308
"CLEC18C","brown",0.918125375182351,0.918125375182351
"OTUD7B","brown",0.917739670166851,0.917739670166851
"ERGIC1","brown",0.917347745610924,0.917347745610924
"ERC2","yellow",0.917254322064717,0.917254322064717
"GPR182","brown",0.916792295690191,0.916792295690191
"NPNT","brown",0.916734614540892,0.916734614540892
"STRIP1","brown",0.916686570855075,0.916686570855075
"RPRML","yellow",0.916254366178174,0.916254366178174
"LOC101928714","brown",0.916248988542677,0.916248988542677
"GPSM1","brown",0.916107323062188,0.916107323062188
"FGF6","brown",0.916049122804903,0.916049122804903
"SEPT3","yellow",0.915994194032499,0.915994194032499
"MIR1282","brown",0.915034704941655,0.915034704941655
"PRPSAP2","brown",0.915007347411602,0.915007347411602
"EPX","brown",0.914511730961773,0.914511730961773
"AP3B2","pink",0.914414765509884,0.914414765509884
"ARHGEF3","yellow",0.914342907341819,0.914342907341819
"PRR3","brown",0.914121197088217,0.914121197088217
"VPS41","blue",0.914026090066703,0.914026090066703
"BSN","yellow",0.913755968097007,0.913755968097007
"TNKS2","brown",0.913558464276508,0.913558464276508
"KMT5C","brown",0.91338703420707,0.91338703420707
"C15orf54","brown",0.913037955729215,0.913037955729215
"FLJ41941","brown",0.912934429497069,0.912934429497069
"SYT3","brown",0.912923474244483,0.912923474244483
"B4GALT2","brown",0.912857850549149,0.912857850549149
"RRP1","brown",0.912669813564035,0.912669813564035
"OR7G3","brown",0.912422334527186,0.912422334527186
"TRIM63","brown",0.912375154475522,0.912375154475522
"CDK5R1","yellow",0.912287053329678,0.912287053329678
"YKT6","brown",0.912080724655649,0.912080724655649
"SCN8A","yellow",0.912003374149383,0.912003374149383
"LOC100507670","brown",0.910910255918817,0.910910255918817
"RFPL1","brown",0.91087922178494,0.91087922178494
"ZNF837","brown",0.910701214150132,0.910701214150132
"BLMH","brown",0.910360924017521,0.910360924017521
"SMCP","brown",0.91027619637444,0.91027619637444
"KIAA1549L","yellow",0.909743453201898,0.909743453201898
"TMOD3","brown",0.909461705626041,0.909461705626041
"RAD51","brown",0.909455680176086,0.909455680176086
"LOC153577","brown",0.908843866515463,0.908843866515463
"A4GNT","brown",0.908079676369335,0.908079676369335
"MIR639","brown",0.90799207250457,0.90799207250457
"IPW","yellow",0.907798575450769,0.907798575450769
"TIGIT","brown",0.907676560748581,0.907676560748581
"PGM5-AS1","brown",0.907493648255425,0.907493648255425
"NELFA","brown",0.907094998385177,0.907094998385177
"MAST2","brown",0.906561206336853,0.906561206336853
"PLP1","black",0.906463060823683,0.906463060823683
"LOC101927248","brown",0.906221038044418,0.906221038044418
"YWHAG","yellow",0.905367341666579,0.905367341666579
"MYBL2","brown",0.904231201262823,0.904231201262823
"UBQLN2","red",0.904230810879848,0.904230810879848
"KRT6B","brown",0.904209159423669,0.904209159423669
"CACNA2D1","yellow",0.90415579333809,0.90415579333809
"KCNQ3","blue",0.903646561662016,0.903646561662016
"CRIP3","brown",0.903415866947221,0.903415866947221
"LINC01554","brown",0.903377264767172,0.903377264767172
"CRHR2","brown",0.903319682642256,0.903319682642256
"DBIL5P","brown",0.903181013322486,0.903181013322486
"ASNA1","brown",0.903053133397013,0.903053133397013
"SLC25A10","brown",0.902789555903022,0.902789555903022
"STX4","brown",0.902616145003335,0.902616145003335
"GNG3","yellow",0.902242680664821,0.902242680664821
"BSCL2","yellow",0.90223309326111,0.90223309326111
"KLK10","brown",0.902169220487996,0.902169220487996
"BUB1B","brown",0.90212103743385,0.90212103743385
"EOMES","brown",0.901923238866044,0.901923238866044
"NRG3","blue",0.90184231519072,0.90184231519072
"S1PR5","black",0.901815506949392,0.901815506949392
"LRRC6","blue",0.901283095421743,0.901283095421743
"SH3KBP1","blue",0.901082488103651,0.901082488103651
"KLHDC3","yellow",0.901075205036243,0.901075205036243
"LRRTM4","blue",0.901048423997407,0.901048423997407
"CLEC4M","brown",0.90081569556461,0.90081569556461
"GABRA4","blue",0.900716258707573,0.900716258707573
"ZNF580","brown",0.900710067261361,0.900710067261361
"PIN1","yellow",0.900542257597151,0.900542257597151
"CLDND1","black",0.900496528678264,0.900496528678264
"SLC35A5","brown",0.900255737520378,0.900255737520378
"PIGV","brown",0.899921075725272,0.899921075725272
"MBNL2","yellow",0.89984243808535,0.89984243808535
"YPEL5","red",0.899513537809933,0.899513537809933
"NEFL","yellow",0.899428429150064,0.899428429150064
"SCG5","yellow",0.899367813520113,0.899367813520113
"EFCC1","brown",0.899324892170791,0.899324892170791
"CAMK2B","pink",0.899323040904357,0.899323040904357
"CNTFR-AS1","brown",0.898974060378098,0.898974060378098
"CXCR3","brown",0.898715211574741,0.898715211574741
"LRRC7","blue",0.898630631532343,0.898630631532343
"MYDGF","brown",0.898409896526906,0.898409896526906
"VPS50","red",0.898382557345103,0.898382557345103
"GAGE12E","brown",0.898238619151025,0.898238619151025
"FAM26E","brown",0.898140267444292,0.898140267444292
"FBXO42","brown",0.897752955587638,0.897752955587638
"LOC101927762","brown",0.897477960907269,0.897477960907269
"COQ4","brown",0.897415852546428,0.897415852546428
"ZBTB4","brown",0.897300793595559,0.897300793595559
"LMO3","blue",0.897002036243566,0.897002036243566
"STXBP1","yellow",0.896970549769727,0.896970549769727
"MDK","brown",0.8969686002414,0.8969686002414
"GLYATL1","brown",0.896334160110757,0.896334160110757
"SZRD1","brown",0.896008462824214,0.896008462824214
"ARHGAP32","blue",0.895514981274375,0.895514981274375
"PLEKHJ1","brown",0.894865112810063,0.894865112810063
"CNTNAP1","yellow",0.894132415564384,0.894132415564384
"SERP2","blue",0.893548250014645,0.893548250014645
"AKT1","brown",0.893187543113526,0.893187543113526
"MEG3","pink",0.893031993736947,0.893031993736947
"LOC388242","brown",0.892996707620483,0.892996707620483
"ASMTL-AS1","brown",0.892700486152654,0.892700486152654
"ATP1B1","yellow",0.892223398695774,0.892223398695774
"TMEM132B","blue",0.891824192211228,0.891824192211228
"MIR1915","brown",0.891668858665185,0.891668858665185
"MIR1229","brown",0.890982710649659,0.890982710649659
"PRICKLE2","blue",0.890955716002401,0.890955716002401
"OLFM1","yellow",0.890808842462762,0.890808842462762
"VSTM2A","blue",0.89058148764506,0.89058148764506
"RUSC2","yellow",0.890183644526354,0.890183644526354
"URGCP","yellow",0.8896158298758,0.8896158298758
"LOC440040","blue",0.889572165994166,0.889572165994166
"TBXA2R","brown",0.889464284058777,0.889464284058777
"TXN2","brown",0.88933520777245,0.88933520777245
"FRMPD4","blue",0.888322735181269,0.888322735181269
"LPAR1","black",0.888145608539766,0.888145608539766
"ATAD2B","brown",0.887984016776548,0.887984016776548
"RGS7","yellow",0.8876055477817,0.8876055477817
"PTPRT","blue",0.887533998852917,0.887533998852917
"HECW1","yellow",0.886705520259425,0.886705520259425
"ARHGEF4","blue",0.886632786397264,0.886632786397264
"TMEM81","brown",0.886534703586001,0.886534703586001
"SNAP25","yellow",0.886241720875798,0.886241720875798
"SLC25A45","brown",0.88623339634439,0.88623339634439
"SUPT7L","brown",0.886105359240389,0.886105359240389
"COL4A2","brown",0.88594208965104,0.88594208965104
"NUAK1","yellow",0.885708676364744,0.885708676364744
"SMAP2","yellow",0.88510970788043,0.88510970788043
"RUNX2","brown",0.885000261926167,0.885000261926167
"C15orf62","brown",0.884788888098798,0.884788888098798
"FOXJ3","red",0.884520107457095,0.884520107457095
"PNMA3","yellow",0.883215210073446,0.883215210073446
"MEF2C","blue",0.882819507775736,0.882819507775736
"ATXN7L3","yellow",0.882778009988023,0.882778009988023
"RANBP3L","green",0.88235775699412,0.88235775699412
"EXOSC8","brown",0.881343029054019,0.881343029054019
"ASNS","yellow",0.881226058061572,0.881226058061572
"ELAVL1","yellow",0.881224884574535,0.881224884574535
"TMEM200B","brown",0.880864946330603,0.880864946330603
"ENO2","yellow",0.880299530326708,0.880299530326708
"GABRB1","blue",0.880044731028137,0.880044731028137
"EGOT","brown",0.8799173051983,0.8799173051983
"ATAD1","red",0.879915336075684,0.879915336075684
"PPP1R3F","yellow",0.879765199953145,0.879765199953145
"SRCAP","brown",0.87933392336214,0.87933392336214
"FBXO34","yellow",0.879150669976829,0.879150669976829
"KCNMA1","blue",0.879029926393628,0.879029926393628
"NMI","brown",0.878800550824536,0.878800550824536
"AEN","brown",0.878505263814387,0.878505263814387
"CALY","yellow",0.878432847537082,0.878432847537082
"LPCAT1","brown",0.878416437095834,0.878416437095834
"SLC8A2","pink",0.877920268350116,0.877920268350116
"BMP3","brown",0.877775392560623,0.877775392560623
"CLSTN1","pink",0.877593588278443,0.877593588278443
"BRSK2","brown",0.877524834393382,0.877524834393382
"CRYBA2","brown",0.877288194445036,0.877288194445036
"PACSIN1","yellow",0.877219508860224,0.877219508860224
"GRAMD3","green",0.876887628177929,0.876887628177929
"FAM131A","yellow",0.876266556497045,0.876266556497045
"MOG","black",0.875842357435591,0.875842357435591
"ARAP1","brown",0.875813457588119,0.875813457588119
"KCNA4","blue",0.875652339666477,0.875652339666477
"LOC100506368","brown",0.875537039019471,0.875537039019471
"TP53BP2","green",0.875392817803652,0.875392817803652
"THRA","brown",0.875084688721772,0.875084688721772
