"kME_threshold","n_genes"
0.4,2484
0.405,2476
0.41,2469
0.415,2464
0.42,2460
0.425,2452
0.43,2444
0.435,2436
0.44,2426
0.445,2416
0.45,2403
0.455,2388
0.46,2370
0.465,2353
0.47,2338
0.475,2326
0.48,2308
0.485,2294
0.49,2280
0.495,2264
0.5,2247
0.505,2222
0.51,2196
0.515,2170
0.52,2147
0.525,2125
0.53,2101
0.535,2068
0.54,2033
0.545,1999
0.55,1971
0.555,1945
0.56,1926
0.565,1905
0.57,1880
0.575,1857
0.58,1831
0.585,1794
0.59,1767
0.595,1744
0.6,1705
0.605,1670
0.61,1650
0.615,1615
0.62,1588
0.625,1559
0.63,1522
0.635,1484
0.64,1466
0.645,1421
0.65,1391
0.655,1355
0.66,1316
0.665,1279
0.67,1245
0.675,1210
0.68,1186
0.685,1156
0.69,1127
0.695,1103
0.7,1078
0.705,1042
0.71,1019
0.715,1000
0.72,974
0.725,949
0.73,921
0.735,898
0.74,862
0.745,839
0.75,813
0.755,787
0.76,763
0.765,740
0.77,717
0.775,690
0.78,664
0.785,640
0.79,615
0.795,584
0.8,561
0.805,537
0.81,517
0.815,496
0.82,477
0.825,454
0.83,431
0.835,406
0.84,391
0.845,375
0.85,352
0.855,330
0.86,315
0.865,297
0.87,277
0.875,255
0.88,231
0.885,219
0.89,200
0.895,185
0.9,161
0.905,132
0.91,118
0.915,95
0.92,75
0.925,57
0.93,40
0.935,26
0.94,18
0.945,10
0.95,4
